"",3. TOTAL ,605882 ,598327 ,1204209 
"",III.VOTERS ,"","",""
"",1. GENERAL ,447109 ,402138 ,849247 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",507 
"",4. TOTAL ,"","",849754 
"",III(A). POLLING PERCENTAGE 70.57 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",105 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",135 
"",3. TOTAL VALID VOTES POLLED ,"","",849514 
"",4. TENDERED VOTES ,"","",16 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1510 ,AVERAGE ,ELECTORS PER POLLING S,TATION 797 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER ADMK Ve,nugopal.P ,"",368294 
"",RUNER-UP DMK G,ayathri.S ,"",336621 
"",MARGIN 31673 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :2 
"",Constituency :Chennai North ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,37 ,4 ,41 
"",2. NOMINATION REJECTED ,12 ,0 ,12 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,25 ,4 ,29 
"",5. FORFEITED DEPOSIT ,23 ,4 ,27 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,509853 ,506431 ,1016284 
"",2. SERVICE ,267 ,112 ,379 
"",3. TOTAL ,510120 ,506543 ,1016663 
"",III.VOTERS ,"","",""
"",1. GENERAL ,345637 ,314183 ,659820 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",69 
"",4. TOTAL ,"","",659889 
"",III(A). POLLING PERCENTAGE 64.91 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",31 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",659858 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1242 ,AVERAGE ,ELECTORS PER POLLING S,TATION 818 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK El,angovan T.K.S,"",281055 
"",RUNER-UP CPI Pa,ndian. D ,"",261902 
"",MARGIN 19153 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :3 
"",Constituency :Chennai South ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,60 ,2 ,62 
"",2. NOMINATION REJECTED ,17 ,0 ,17 
"",3. WITHDRAWN ,1 ,1 ,2 
"",4. CONTESTED ,42 ,1 ,43 
"",5. FORFEITED DEPOSIT ,40 ,1 ,41 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,584145 ,577539 ,1161684 
"",2. SERVICE ,287 ,91 ,378 
"",3. TOTAL ,584432 ,577630 ,1162062 
"",III.VOTERS ,"","",""
"",1. GENERAL ,369506 ,358586 ,728092 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",21 
"",4. TOTAL ,"","",728113 
"",III(A). POLLING PERCENTAGE 62.66 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",16 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",728097 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1394 ,AVERAGE ,ELECTORS PER POLLING S,TATION 833 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER ADMK R,ajendran C ,"",308567 
"",RUNER-UP DMK Bh,arathy R.S. ,"",275632 
"",MARGIN 32935 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :4 
"",Constituency :Chennai central ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,61 ,2 ,63 
"",2. NOMINATION REJECTED ,25 ,1 ,26 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,36 ,1 ,37 
"",5. FORFEITED DEPOSIT ,34 ,1 ,35 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,503139 ,497206 ,1000345 
"",2. SERVICE ,233 ,127 ,360 
"",3. TOTAL ,503372 ,497333 ,1000705 
"",III.VOTERS ,"","",""
"",1. GENERAL ,327732 ,282928 ,610660 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",84 
"",4. TOTAL ,"","",610744 
"",III(A). POLLING PERCENTAGE 61.03 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",64 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",392 
"",3. TOTAL VALID VOTES POLLED ,"","",610288 
"",4. TENDERED VOTES ,"","",3 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1148 ,AVERAGE ,ELECTORS PER POLLING S,TATION 871 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK D,ayanidhi Mara,n ,285783 
"",RUNER-UP ADMK M,ogamed Ali Jin,nah S.M.K. ,252329 
"",MARGIN 33454 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :5 
"",Constituency :Sriperumbudur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,49 ,3 ,52 
"",2. NOMINATION REJECTED ,16 ,0 ,16 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,29 ,3 ,32 
"",5. FORFEITED DEPOSIT ,27 ,3 ,30 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,610344 ,590351 ,1200695 
"",2. SERVICE ,367 ,175 ,542 
"",3. TOTAL ,610711 ,590526 ,1201237 
"",III.VOTERS ,"","",""
"",1. GENERAL ,426880 ,366717 ,793597 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",455 
"",4. TOTAL ,"","",794052 
"",III(A). POLLING PERCENTAGE 66.10 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",2 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",794050 
"",4. TENDERED VOTES ,"","",5 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1613 ,AVERAGE ,ELECTORS PER POLLING S,TATION 744 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK Ba,alu T R ,"",352641 
"",RUNER-UP PMK M,oorthy A K ,"",327605 
"",MARGIN 25036 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :6 
"",Constituency :Kancheepuram ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,27 ,1 ,28 
"",2. NOMINATION REJECTED ,8 ,0 ,8 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,19 ,1 ,20 
"",5. FORFEITED DEPOSIT ,17 ,1 ,18 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,532952 ,526969 ,1059921 
"",2. SERVICE ,191 ,76 ,267 
"",3. TOTAL ,533143 ,527045 ,1060188 
"",III.VOTERS ,"","",""
"",1. GENERAL ,412383 ,374067 ,786450 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",460 
"",4. TOTAL ,"","",786910 
"",III(A). POLLING PERCENTAGE 74.22 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",193 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",786717 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1296 ,AVERAGE ,ELECTORS PER POLLING S,TATION 817 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Vi,swanathan.P ,"",330237 
"",RUNER-UP ADMK R,amakrishnan.D,r.E ,317134 
"",MARGIN 13103 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :7 
"",Constituency :Arakkonam ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,28 ,0 ,28 
"",2. NOMINATION REJECTED ,7 ,0 ,7 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,20 ,0 ,20 
"",5. FORFEITED DEPOSIT ,18 ,0 ,18 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,545710 ,547335 ,1093045 
"",2. SERVICE ,4039 ,1523 ,5562 
"",3. TOTAL ,549749 ,548858 ,1098607 
"",III.VOTERS ,"","",""
"",1. GENERAL ,432958 ,420303 ,853261 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1714 
"",4. TOTAL ,"","",854975 
"",III(A). POLLING PERCENTAGE 77.82 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",147 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",1859 
"",3. TOTAL VALID VOTES POLLED ,"","",852969 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1347 ,AVERAGE ,ELECTORS PER POLLING S,TATION 811 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-15-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK Ja,gathrakshaka,n ,415041 
"",RUNER-UP PMK Ve,lu R ,"",305245 
"",MARGIN 109796 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :8 
"",Constituency :Vellore ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,33 ,0 ,33 
"",2. NOMINATION REJECTED ,7 ,0 ,7 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,24 ,0 ,24 
"",5. FORFEITED DEPOSIT ,22 ,0 ,22 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,500342 ,503994 ,1004336 
"",2. SERVICE ,4253 ,1478 ,5731 
"",3. TOTAL ,504595 ,505472 ,1010067 
"",III.VOTERS ,"","",""
"",1. GENERAL ,371402 ,352481 ,723883 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",267 
"",4. TOTAL ,"","",724150 
"",III(A). POLLING PERCENTAGE 71.69 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",138 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",621 
"",3. TOTAL VALID VOTES POLLED ,"","",723391 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1254 ,AVERAGE ,ELECTORS PER POLLING S,TATION 800 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK Ab,dul Rahman ,"",360474 
"",RUNER-UP ADMK Va,su  L K M B ,"",253081 
"",MARGIN 107393 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :9 
"",Constituency :Krishnagiri ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,29 ,2 ,31 
"",2. NOMINATION REJECTED ,14 ,0 ,14 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,14 ,2 ,16 
"",5. FORFEITED DEPOSIT ,12 ,2 ,14 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,517282 ,494033 ,1011315 
"",2. SERVICE ,2561 ,882 ,3443 
"",3. TOTAL ,519843 ,494915 ,1014758 
"",III.VOTERS ,"","",""
"",1. GENERAL ,395662 ,356903 ,752565 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",13 
"",4. TOTAL ,"","",752578 
"",III(A). POLLING PERCENTAGE 74.16 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",8 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",752570 
"",4. TENDERED VOTES ,"","",13 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1323 ,AVERAGE ,ELECTORS PER POLLING S,TATION 764 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK Su,gavanam. E.G,. ,335977 
"",RUNER-UP ADMK N,anjegowdu. K.,"",259379 
"",MARGIN 76598 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :10 
"",Constituency :Dharmapuri ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,31 ,0 ,31 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,7 ,0 ,7 
"",4. CONTESTED ,21 ,0 ,21 
"",5. FORFEITED DEPOSIT ,19 ,0 ,19 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,546370 ,522350 ,1068720 
"",2. SERVICE ,682 ,199 ,881 
"",3. TOTAL ,547052 ,522549 ,1069601 
"",III.VOTERS ,"","",""
"",1. GENERAL ,403123 ,374389 ,777512 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",590 
"",4. TOTAL ,"","",778102 
"",III(A). POLLING PERCENTAGE 72.75 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",58 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",778044 
"",4. TENDERED VOTES ,"","",4 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1365 ,AVERAGE ,ELECTORS PER POLLING S,TATION 782 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK Th,amaraiselvan,. R ,365812 
"",RUNER-UP PMK Se,nthil. R. Dr. ,"",229870 
"",MARGIN 135942 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :11 
"",Constituency :Tiruvannamalai ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,45 ,1 ,46 
"",2. NOMINATION REJECTED ,13 ,0 ,13 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,29 ,1 ,30 
"",5. FORFEITED DEPOSIT ,27 ,1 ,28 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,525373 ,524980 ,1050353 
"",2. SERVICE ,1858 ,376 ,2234 
"",3. TOTAL ,527231 ,525356 ,1052587 
"",III.VOTERS ,"","",""
"",1. GENERAL ,419655 ,418826 ,838481 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",2064 
"",4. TOTAL ,"","",840545 
"",III(A). POLLING PERCENTAGE 79.86 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",330 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",840215 
"",4. TENDERED VOTES ,"","",2 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1301 ,AVERAGE ,ELECTORS PER POLLING S,TATION 807 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK Ve,nugopal.D ,"",436866 
"",RUNER-UP PMK G,uru (A) Guruna,than. J ,288566 
"",MARGIN 148300 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :12 
"",Constituency :Arani ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,25 ,1 ,26 
"",2. NOMINATION REJECTED ,5 ,0 ,5 
"",3. WITHDRAWN ,7 ,1 ,8 
"",4. CONTESTED ,13 ,0 ,13 
"",5. FORFEITED DEPOSIT ,11 ,0 ,11 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,550546 ,544278 ,1094824 
"",2. SERVICE ,2330 ,711 ,3041 
"",3. TOTAL ,552876 ,544989 ,1097865 
"",III.VOTERS ,"","",""
"",1. GENERAL ,423272 ,416025 ,839297 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1907 
"",4. TOTAL ,"","",841204 
"",III(A). POLLING PERCENTAGE 76.62 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",35 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",841169 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1387 ,AVERAGE ,ELECTORS PER POLLING S,TATION 789 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Kr,ishnasswamy, M ,396728 
"",RUNER-UP ADMK Su,bramaniyan N,"",289898 
"",MARGIN 106830 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :13 
"",Constituency :Viluppuram ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,24 ,2 ,26 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,5 ,0 ,5 
"",4. CONTESTED ,18 ,1 ,19 
"",5. FORFEITED DEPOSIT ,16 ,1 ,17 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,540710 ,525871 ,1066581 
"",2. SERVICE ,1089 ,501 ,1590 
"",3. TOTAL ,541799 ,526372 ,1068171 
"",III.VOTERS ,"","",""
"",1. GENERAL ,408944 ,386742 ,795686 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",728 
"",4. TOTAL ,"","",796414 
"",III(A). POLLING PERCENTAGE 74.56 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",228 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",796186 
"",4. TENDERED VOTES ,"","",4 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1376 ,AVERAGE ,ELECTORS PER POLLING S,TATION 775 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER ADMK An,andan M ,"",306826 
"",RUNER-UP VCK Sw,amidurai K ,"",304029 
"",MARGIN 2797 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :14 
"",Constituency :Kallakurichi ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,53 ,2 ,55 
"",2. NOMINATION REJECTED ,19 ,1 ,20 
"",3. WITHDRAWN ,6 ,0 ,6 
"",4. CONTESTED ,28 ,1 ,29 
"",5. FORFEITED DEPOSIT ,26 ,1 ,27 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,555948 ,549810 ,1105758 
"",2. SERVICE ,412 ,182 ,594 
"",3. TOTAL ,556360 ,549992 ,1106352 
"",III.VOTERS ,"","",""
"",1. GENERAL ,426277 ,425796 ,852073 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",2882 
"",4. TOTAL ,"","",854955 
"",III(A). POLLING PERCENTAGE 77.28 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",219 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",854736 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1366 ,AVERAGE ,ELECTORS PER POLLING S,TATION 810 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER DMK Sa,nkar Adhi ,"",363601 
"",RUNER-UP PMK D,hanaraju K ,"",254993 
"",MARGIN 108608 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :15 
"",Constituency :Salem ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,33 ,2 ,35 
"",2. NOMINATION REJECTED ,7 ,1 ,8 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,22 ,1 ,23 
"",5. FORFEITED DEPOSIT ,20 ,1 ,21 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,595921 ,575192 ,1171113 
"",2. SERVICE ,463 ,263 ,726 
"",3. TOTAL ,596384 ,575455 ,1171839 
"",III.VOTERS ,"","",""
"",1. GENERAL ,467629 ,427287 ,894916 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",638 
"",4. TOTAL ,"","",895554 
"",III(A). POLLING PERCENTAGE 76.42 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",304 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",895250 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1480 ,AVERAGE ,ELECTORS PER POLLING S,TATION 792 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-15-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER ADMK Se,mmalai S ,"",380460 
"",RUNER-UP INC Th,angkabalu K ,V ,333969 
"",MARGIN 46491 ,"","",""


"",State/UT :S22 ,"","",Code :S22 
"","","","",No. :16 
"",Constituency :Namakkal ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,39 ,5 ,44 
"",2. NOMINATION REJECTED ,13 ,3 ,16 
"",3. WITHDRAWN ,2 ,1 ,3 
"",4. CONTESTED ,24 ,1 ,25 
"",5. FORFEITED DEPOSIT ,23 ,0 ,23 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,540272 ,534877 ,1075149 
"",2. SERVICE ,243 ,134 ,377 
"",3. TOTAL ,540515 ,535011 ,1075526 
"",III.VOTERS ,"","",""
"",1. GENERAL ,429463 ,415881 ,845344 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1021 
"",4. TOTAL ,"","",846365 
"",III(A). POLLING PERCENTAGE 78.69 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",49 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",1121 
"",3. TOTAL VALID VOTES POLLED ,"","",845195 
"",4. TENDERED VOTES ,"","",18 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1335 ,AVERAGE ,ELECTORS PER POLLING S,TATION 806 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
